state,age,n_mig,pop,rate
arkansas,69,5,425,0.011764705882352941
arkansas,70,8,810,0.009876543209876543
arkansas,71,6,366,0.01639344262295082
arkansas,72,4,373,0.010723860589812333
arkansas,73,5,354,0.014124293785310734
arkansas,74,6,730,0.00821917808219178
arkansas,75,8,387,0.020671834625323
arkansas,76,4,278,0.014388489208633094
arkansas,77,1,261,0.0038314176245210726
arkansas,79,1,242,0.004132231404958678
california,1,67,6628,0.010108630054315027
california,2,85,6900,0.012318840579710146
california,3,90,7022,0.012816861293078895
california,4,65,7296,0.008908991228070175
california,5,65,7388,0.008798050893340553
california,6,70,7886,0.00887648998224702
california,7,66,8152,0.008096172718351325
california,8,64,8276,0.007733204446592557
california,9,60,8298,0.0072306579898770785
california,10,47,8602,0.005463845617298303
california,11,45,8548,0.0052643893308376224
california,12,50,8840,0.005656108597285068
california,13,61,9452,0.00645366060093102
california,14,48,9596,0.005002084201750729
california,15,44,9742,0.0045165263806199955
california,16,39,9680,0.0040289256198347105
california,17,51,10014,0.005092869982025165
california,18,348,11264,0.030894886363636364
california,19,391,10768,0.03631129271916791
california,20,277,9952,0.027833601286173633
california,21,247,9978,0.02475445981158549
california,22,290,9298,0.031189503118950312
california,23,276,9594,0.028767979987492184
california,24,256,9166,0.027929303949378138
california,25,221,9468,0.02334178284748627
california,26,222,9778,0.02270402945387605
california,27,249,10002,0.02489502099580084
california,28,233,10422,0.022356553444636346
california,29,233,10496,0.022198932926829267
california,30,226,11464,0.019713886950453594
california,31,177,10964,0.016143743159430863
california,32,210,11094,0.018929150892374257
california,33,182,10994,0.01655448426414408
california,34,156,10622,0.014686499717567313
california,35,128,10840,0.011808118081180811
california,36,136,10604,0.012825348924933987
california,37,123,10548,0.011660978384527872
california,38,118,10404,0.011341791618608228
california,39,117,10350,0.011304347826086957
california,40,103,10908,0.009442610927759443
california,41,100,10318,0.009691800736576855
california,42,69,10066,0.0068547585932843234
california,43,58,9262,0.006262146404664219
california,44,71,9580,0.007411273486430062
california,45,49,9712,0.005045304777594728
california,46,65,9332,0.006965280754393485
california,47,55,9344,0.0058861301369863015
california,48,53,9222,0.005747126436781609
california,49,47,9238,0.00508768131630223
california,50,61,10244,0.0059547051932838735
california,51,53,10114,0.005240261024322721
california,52,40,10502,0.0038087983241287373
california,53,65,9800,0.0066326530612244895
california,54,43,9804,0.0043859649122807015
california,55,45,9892,0.00454913061059442
california,56,38,9754,0.0038958376050850932
california,57,52,10362,0.005018336228527312
california,58,52,10170,0.005113077679449361
california,59,77,10834,0.007107254938157652
california,60,63,10512,0.0059931506849315065
california,61,50,10702,0.004672023920762474
california,62,71,10712,0.006628080657206871
california,63,64,10212,0.00626713670191931
california,64,61,10418,0.0058552505279324246
california,65,52,10150,0.0051231527093596055
california,66,50,9922,0.005039306591413021
california,67,43,9866,0.004358402594769917
california,68,58,9602,0.006040408248281608
california,69,57,8876,0.006421811626858945
california,70,37,9028,0.004098360655737705
california,71,41,8188,0.005007327796775769
california,72,45,7904,0.00569331983805668
california,73,29,7516,0.003858435337945716
california,74,24,7422,0.0032336297493936943
california,75,51,7572,0.006735340729001585
california,76,36,5940,0.006060606060606061
california,77,18,5326,0.003379647014645137
california,78,31,5152,0.006017080745341615
california,79,23,5092,0.004516889238020424
california,80,18,4318,0.0041685965724872626
colorado,1,22,1120,0.019642857142857142
colorado,2,24,984,0.024390243902439025
colorado,3,23,1128,0.020390070921985817
colorado,4,27,1042,0.025911708253358926
colorado,5,25,1212,0.020627062706270627
colorado,6,21,1146,0.01832460732984293
colorado,7,20,1196,0.016722408026755852
colorado,8,18,1348,0.013353115727002967
colorado,9,23,1296,0.017746913580246913
colorado,10,16,1316,0.0121580547112462
colorado,11,13,1246,0.01043338683788122
colorado,12,22,1440,0.015277777777777777
colorado,13,20,1306,0.015313935681470138
colorado,14,15,1486,0.010094212651413189
colorado,15,16,1458,0.010973936899862825
colorado,16,15,1488,0.010080645161290322
colorado,17,26,1478,0.017591339648173207
colorado,18,129,1626,0.07933579335793357
colorado,19,125,1508,0.08289124668435013
colorado,20,100,1440,0.06944444444444445
colorado,21,66,1266,0.052132701421800945
colorado,22,77,1206,0.06384742951907131
colorado,23,104,1296,0.08024691358024691
colorado,24,95,1380,0.06884057971014493
colorado,25,80,1488,0.053763440860215055
colorado,26,107,1542,0.06939040207522698
colorado,27,80,1648,0.04854368932038835
colorado,28,62,1654,0.037484885126964934
colorado,29,71,1666,0.042617046818727494
colorado,30,68,1810,0.03756906077348066
colorado,31,46,1782,0.025813692480359147
colorado,32,66,1800,0.03666666666666667
colorado,33,52,1686,0.03084223013048636
colorado,34,59,1786,0.03303471444568869
colorado,35,45,1728,0.026041666666666668
colorado,36,41,1690,0.0242603550295858
colorado,37,41,1748,0.02345537757437071
colorado,38,31,1672,0.01854066985645933
colorado,39,40,1600,0.025
colorado,40,29,1642,0.01766138855054811
colorado,41,34,1674,0.02031063321385902
colorado,42,27,1638,0.016483516483516484
colorado,43,12,1532,0.007832898172323759
colorado,44,24,1474,0.016282225237449117
colorado,45,14,1444,0.009695290858725761
colorado,46,24,1426,0.016830294530154277
colorado,47,11,1390,0.007913669064748202
colorado,48,16,1450,0.011034482758620689
colorado,49,24,1340,0.01791044776119403
colorado,50,14,1376,0.010174418604651164
colorado,51,21,1546,0.013583441138421734
colorado,52,20,1494,0.013386880856760375
colorado,53,13,1428,0.009103641456582634
colorado,54,12,1350,0.008888888888888889
colorado,55,15,1352,0.011094674556213017
colorado,56,10,1344,0.00744047619047619
colorado,57,19,1422,0.013361462728551337
colorado,58,17,1600,0.010625
colorado,59,18,1512,0.011904761904761904
colorado,60,12,1700,0.007058823529411765
colorado,61,18,1616,0.011138613861386138
colorado,62,22,1626,0.013530135301353014
colorado,63,14,1652,0.00847457627118644
colorado,64,15,806,0.018610421836228287
colorado,65,15,1684,0.008907363420427554
colorado,66,11,1700,0.006470588235294118
colorado,67,13,1536,0.008463541666666666
colorado,68,15,1460,0.010273972602739725
colorado,69,13,1574,0.008259212198221092
colorado,70,14,1338,0.01046337817638266
colorado,71,13,1308,0.009938837920489297
colorado,72,13,1402,0.009272467902995721
colorado,73,9,1262,0.0071315372424722665
colorado,74,9,607,0.014827018121911038
colorado,75,10,1298,0.007704160246533128
colorado,76,9,834,0.01079136690647482
colorado,77,1,393,0.002544529262086514
colorado,79,5,382,0.013089005235602094
colorado,80,3,698,0.004297994269340974
connecticut,1,20,666,0.03003003003003003
connecticut,2,16,670,0.023880597014925373
connecticut,3,10,650,0.015384615384615385
connecticut,4,20,642,0.03115264797507788
connecticut,5,17,674,0.025222551928783383
connecticut,6,16,714,0.022408963585434174
connecticut,7,19,688,0.027616279069767442
connecticut,8,12,668,0.017964071856287425
connecticut,9,12,343,0.03498542274052478
connecticut,10,9,716,0.012569832402234637
connecticut,11,13,786,0.01653944020356234
connecticut,12,7,780,0.008974358974358974
connecticut,13,13,856,0.015186915887850467
connecticut,14,15,840,0.017857142857142856
connecticut,15,10,858,0.011655011655011656
connecticut,16,9,884,0.010180995475113122
connecticut,17,8,836,0.009569377990430622
connecticut,18,81,1102,0.073502722323049
connecticut,19,121,1302,0.09293394777265745
connecticut,20,108,1084,0.0996309963099631
connecticut,21,76,902,0.08425720620842572
connecticut,22,59,780,0.07564102564102564
connecticut,23,66,866,0.07621247113163972
connecticut,24,52,820,0.06341463414634146
connecticut,25,57,768,0.07421875
connecticut,26,45,758,0.059366754617414245
connecticut,27,49,810,0.06049382716049383
connecticut,28,29,754,0.038461538461538464
connecticut,29,34,766,0.044386422976501305
connecticut,30,30,850,0.03529411764705882
connecticut,31,34,782,0.043478260869565216
connecticut,32,52,912,0.05701754385964912
connecticut,33,25,912,0.027412280701754384
connecticut,34,23,942,0.024416135881104035
connecticut,35,20,880,0.022727272727272728
connecticut,36,30,884,0.033936651583710405
connecticut,37,24,944,0.025423728813559324
connecticut,38,26,830,0.03132530120481928
connecticut,39,25,958,0.026096033402922755
connecticut,40,32,874,0.036613272311212815
connecticut,41,20,886,0.022573363431151242
connecticut,42,19,866,0.021939953810623556
connecticut,43,19,417,0.045563549160671464
connecticut,44,9,383,0.02349869451697128
connecticut,45,17,824,0.02063106796116505
connecticut,46,16,758,0.021108179419525065
connecticut,47,15,812,0.01847290640394089
connecticut,48,9,790,0.01139240506329114
connecticut,49,7,405,0.01728395061728395
connecticut,50,14,1002,0.013972055888223553
connecticut,51,15,936,0.016025641025641024
connecticut,52,17,1098,0.015482695810564663
connecticut,53,13,996,0.013052208835341365
connecticut,54,15,954,0.015723270440251572
connecticut,55,17,1004,0.01693227091633466
connecticut,56,10,1028,0.009727626459143969
connecticut,57,15,1222,0.012274959083469721
connecticut,58,15,1164,0.01288659793814433
connecticut,59,17,1016,0.01673228346456693
connecticut,60,8,613,0.013050570962479609
connecticut,61,18,1096,0.016423357664233577
connecticut,62,11,607,0.018121911037891267
connecticut,63,12,559,0.02146690518783542
connecticut,64,15,571,0.02626970227670753
connecticut,65,7,1144,0.006118881118881119
connecticut,66,16,562,0.028469750889679714
connecticut,67,6,1068,0.0056179775280898875
connecticut,68,11,1076,0.010223048327137546
connecticut,69,7,954,0.007337526205450734
connecticut,70,8,1102,0.007259528130671506
connecticut,71,7,854,0.00819672131147541
connecticut,72,5,812,0.006157635467980296
connecticut,73,6,880,0.006818181818181818
connecticut,74,8,399,0.020050125313283207
connecticut,75,13,816,0.015931372549019607
connecticut,76,3,698,0.004297994269340974
connecticut,77,6,606,0.009900990099009901
connecticut,78,10,294,0.034013605442176874
connecticut,79,6,592,0.010135135135135136
connecticut,80,4,260,0.015384615384615385
delaware,1,7,150,0.04666666666666667
delaware,2,7,154,0.045454545454545456
delaware,3,5,164,0.03048780487804878
delaware,4,5,81,0.06172839506172839
delaware,5,3,85,0.03529411764705882
delaware,6,3,101,0.0297029702970297
delaware,7,1,78,0.01282051282051282
delaware,8,4,182,0.02197802197802198
delaware,9,2,86,0.023255813953488372
delaware,10,4,168,0.023809523809523808
delaware,11,1,88,0.011363636363636364
delaware,12,5,96,0.052083333333333336
delaware,13,2,106,0.018867924528301886
delaware,14,5,208,0.02403846153846154
delaware,15,4,82,0.04878048780487805
delaware,16,6,99,0.06060606060606061
delaware,17,1,88,0.011363636363636364
delaware,18,26,242,0.10743801652892562
delaware,19,17,96,0.17708333333333334
delaware,20,10,121,0.08264462809917356
delaware,21,3,98,0.030612244897959183
delaware,22,7,87,0.08045977011494253
delaware,23,5,70,0.07142857142857142
delaware,24,4,81,0.04938271604938271
delaware,25,6,164,0.036585365853658534
delaware,26,10,91,0.10989010989010989
delaware,27,3,154,0.01948051948051948
delaware,28,14,200,0.07
delaware,29,10,184,0.05434782608695652
delaware,30,10,186,0.053763440860215055
delaware,31,9,127,0.07086614173228346
delaware,32,9,131,0.06870229007633588
delaware,33,12,206,0.05825242718446602
delaware,34,9,238,0.037815126050420166
delaware,35,9,184,0.04891304347826087
delaware,36,4,222,0.018018018018018018
delaware,37,6,109,0.05504587155963303
delaware,38,4,103,0.038834951456310676
delaware,39,3,192,0.015625
delaware,40,5,108,0.046296296296296294
delaware,41,4,200,0.02
delaware,42,6,176,0.03409090909090909
delaware,43,4,96,0.041666666666666664
delaware,45,5,93,0.053763440860215055
delaware,46,2,81,0.024691358024691357
delaware,47,3,156,0.019230769230769232
delaware,48,4,93,0.043010752688172046
delaware,49,4,114,0.03508771929824561
delaware,50,5,106,0.04716981132075472
delaware,51,3,100,0.03
delaware,52,6,194,0.030927835051546393
delaware,53,9,132,0.06818181818181818
delaware,54,5,228,0.021929824561403508
delaware,55,5,222,0.02252252252252252
delaware,56,3,286,0.01048951048951049
delaware,57,3,116,0.02586206896551724
delaware,58,9,320,0.028125
delaware,59,6,252,0.023809523809523808
delaware,60,12,282,0.0425531914893617
delaware,61,13,173,0.07514450867052024
delaware,62,10,163,0.06134969325153374
delaware,63,11,195,0.05641025641025641
delaware,64,5,160,0.03125
delaware,65,4,396,0.010101010101010102
delaware,66,4,178,0.02247191011235955
delaware,67,9,388,0.023195876288659795
delaware,68,13,187,0.06951871657754011
delaware,69,6,161,0.037267080745341616
delaware,70,8,184,0.043478260869565216
delaware,71,2,152,0.013157894736842105
delaware,72,4,167,0.023952095808383235
delaware,73,4,145,0.027586206896551724
delaware,75,1,166,0.006024096385542169
delaware,76,5,228,0.021929824561403508
delaware,77,2,115,0.017391304347826087
delaware,78,4,105,0.0380952380952381
delaware,79,4,180,0.022222222222222223
delaware,80,1,76,0.013157894736842105
district of columbia,1,1,53,0.018867924528301886
district of columbia,2,3,49,0.061224489795918366
district of columbia,3,3,106,0.02830188679245283
district of columbia,4,2,56,0.03571428571428571
district of columbia,5,4,104,0.038461538461538464
district of columbia,6,3,96,0.03125
district of columbia,7,3,48,0.0625
district of columbia,8,2,41,0.04878048780487805
district of columbia,9,3,94,0.031914893617021274
district of columbia,10,1,33,0.030303030303030304
district of columbia,11,1,48,0.020833333333333332
district of columbia,12,1,31,0.03225806451612903
district of columbia,13,3,62,0.04838709677419355
district of columbia,14,3,38,0.07894736842105263
district of columbia,15,4,90,0.044444444444444446
district of columbia,16,3,45,0.06666666666666667
district of columbia,17,2,36,0.05555555555555555
district of columbia,18,84,242,0.34710743801652894
district of columbia,19,92,314,0.2929936305732484
district of columbia,20,49,190,0.2578947368421053
district of columbia,21,46,212,0.2169811320754717
district of columbia,22,46,184,0.25
district of columbia,23,60,268,0.22388059701492538
district of columbia,24,45,266,0.16917293233082706
district of columbia,25,40,286,0.13986013986013987
district of columbia,26,29,322,0.09006211180124224
district of columbia,27,32,142,0.22535211267605634
district of columbia,28,30,272,0.11029411764705882
district of columbia,29,25,258,0.09689922480620156
district of columbia,30,21,312,0.0673076923076923
district of columbia,31,20,298,0.06711409395973154
district of columbia,32,21,304,0.06907894736842106
district of columbia,33,14,314,0.044585987261146494
district of columbia,34,21,298,0.07046979865771812
district of columbia,35,21,280,0.075
district of columbia,36,11,240,0.04583333333333333
district of columbia,37,10,218,0.045871559633027525
district of columbia,38,4,232,0.017241379310344827
district of columbia,39,7,250,0.028
district of columbia,40,9,101,0.0891089108910891
district of columbia,41,8,182,0.04395604395604396
district of columbia,42,8,192,0.041666666666666664
district of columbia,43,5,196,0.025510204081632654
district of columbia,44,6,166,0.03614457831325301
district of columbia,45,5,144,0.034722222222222224
district of columbia,46,5,71,0.07042253521126761
district of columbia,47,3,69,0.043478260869565216
district of columbia,48,3,130,0.023076923076923078
district of columbia,49,7,168,0.041666666666666664
district of columbia,50,7,144,0.04861111111111111
district of columbia,51,3,174,0.017241379310344827
district of columbia,52,3,124,0.024193548387096774
district of columbia,53,3,142,0.02112676056338028
district of columbia,54,2,47,0.0425531914893617
district of columbia,55,5,59,0.0847457627118644
district of columbia,56,5,130,0.038461538461538464
district of columbia,57,4,128,0.03125
district of columbia,58,3,74,0.04054054054054054
district of columbia,59,5,106,0.04716981132075472
district of columbia,60,6,130,0.046153846153846156
district of columbia,61,3,84,0.03571428571428571
district of columbia,62,2,146,0.0136986301369863
district of columbia,63,4,70,0.05714285714285714
district of columbia,64,2,81,0.024691358024691357
district of columbia,65,4,134,0.029850746268656716
district of columbia,66,3,208,0.014423076923076924
district of columbia,69,3,126,0.023809523809523808
district of columbia,70,6,108,0.05555555555555555
district of columbia,71,2,54,0.037037037037037035
district of columbia,72,2,75,0.02666666666666667
district of columbia,73,1,49,0.02040816326530612
district of columbia,74,5,43,0.11627906976744186
district of columbia,75,2,50,0.04
district of columbia,76,1,34,0.029411764705882353
district of columbia,77,1,41,0.024390243902439025
district of columbia,79,1,47,0.02127659574468085
district of columbia,80,1,27,0.037037037037037035
florida,1,82,2940,0.027891156462585033
florida,2,74,3202,0.0231105559025609
florida,3,81,3564,0.022727272727272728
florida,4,82,3472,0.023617511520737326
florida,5,91,3736,0.0243576017130621
florida,6,89,3676,0.024211099020674646
florida,7,83,3970,0.020906801007556677
florida,8,94,3906,0.024065540194572452
florida,9,68,3910,0.017391304347826087
florida,10,78,4058,0.019221291276490884
florida,11,78,3870,0.020155038759689922
florida,12,91,4154,0.021906596051998073
florida,13,63,4276,0.014733395696913003
florida,14,69,4510,0.015299334811529933
florida,15,87,4750,0.01831578947368421
florida,16,59,4674,0.012623020967051776
florida,17,70,4574,0.01530389156099694
